Rank,Score,Match Category,Recommendation,Job Title,Company,Location,Source,Link,Why Match,Gaps / Concerns,Suggested CV Tailoring,reason_codes,data_confidence,scrape_status,run_id,gpa_required,gpa_gap,gpa_status,gpa_note,deadline_parsed,deadline_status,days_until_deadline,urgency_level,deadline_note,not_apply_today_reason
1,80,Good Match,Apply / Maybe,Lowongan kerja PT Alamtri Resources Indonesia Tbk,PT Alamtri,Jakarta,Gokerja - Fresh Graduate,https://www.gokerja.id/lowongan-kerja-pt-alamtri-resources-indonesia-tbk/,Role match: MT; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
2,80,Good Match,Apply / Maybe,Management Trainee PT Astra International Tbk – Isuzu Sales Operation,PT Astra,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/maganement-trainee-pt-astra-international-tbk-isuzu-sales-operation/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_ID_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
3,80,Good Match,Apply / Maybe,BCA Management Trainee (MT) Program 2026 Batch 1,PT Bank,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-terbaru-dari-pt-bank-central-asia-tbk/22/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
4,80,Good Match,Apply / Maybe,Lowongan Management Trainee PT Bank Central Asia Tbk,PT Bank,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-pt-bank-central-asia-tbk/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
5,80,Good Match,Apply / Maybe,Rekrutmen Officer Development Program Bank Mandiri 2026,PT Bank,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/rekrutmen-officer-development-program-bank-mandiri-2026/18/2026/,Role match: Officer Development Program; Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
6,80,Good Match,Apply / Maybe,Graduate Development Program – PT Cisarua Mountain Dairy Tbk,PT Cisarua,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-pekerjaan-dari-pt-cisarua-mountain-dairy-tbk/20/2026/,Role match: Graduate Development Program; Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
7,80,Good Match,Apply / Maybe,Dharma Polimetal Management Trainee Program,PT Dharma,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-management-trainee-pt-dharma-polimetal-tbk/22/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
8,80,Good Match,Apply / Maybe,Management Trainee – J&T Cargo Indonesia (PT Global Yimi Cargo),PT Global,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-management-trainee-jt-cargo-indonesia-pt-global-yimi-cargo/21/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
9,80,Good Match,Apply / Maybe,Lowongan Management Trainee PT Molindo Raya Industrial,PT Molindo,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-pt-molindo-raya-industrial/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
10,80,Good Match,Apply / Maybe,Sampoerna Graduate Trainee 2026,PT Philip,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-pekerjaan-dari-pt-hm-sampoerna-tbk/16/2026/,Role match: Graduate Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
