rank,score,super_aggressive_priority,super_aggressive_recommendation,match_category,tracker_status,job_title,company_name,location,job_link,source,source_url,date_posted,date_collected,salary_min,salary_max,industry,work_arrangement,parsing_confidence,match_reasons,gaps,missing_skills,red_flags,cv_tailoring_notes,job_description,requirements,responsibilities,raw_text,data_origin,duplicate_group_key,apply_notes
1,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan kerja PT Alamtri Resources Indonesia Tbk,PT Alamtri,Jakarta,https://www.gokerja.id/lowongan-kerja-pt-alamtri-resources-indonesia-tbk/,Gokerja - Fresh Graduate,,,,,,,,90.0,Role match: MT; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan kerja PT Alamtri Resources Indonesia Tbk Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA ...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-pt-alamtri-resources-indonesia-tbk/,Apply today. Good volume target.
2,70,Priority 2 - Apply Today,Apply,Possible Match,,Management Trainee PT Astra International Tbk – Isuzu Sales Operation,PT Astra,Jakarta,https://www.gokerja.id/maganement-trainee-pt-astra-international-tbk-isuzu-sales-operation/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Maganement Trainee PT Astra International Tbk - Isuzu Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MA...",,,,merged_duplicate,https://www.gokerja.id/maganement-trainee-pt-astra-international-tbk-isuzu-sales-operation/,Apply today. Good volume target.
3,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee PT Molindo Raya Industrial,PT Molindo,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-molindo-raya-industrial/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Management Trainee PT Molindo Raya Industrial Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-molindo-raya-industrial/,Apply today. Good volume target.
4,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee PT Platinum Ceramics Industry,PT Platinum,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-platinum-ceramics-industry/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Management Trainee PT Platinum Ceramics Industry Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LO...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-platinum-ceramics-industry/,Apply today. Good volume target.
5,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee PT Propan Raya ICC,PT Propan,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-propan-raya-icc/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Management Trainee PT Propan Raya ICC Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAG...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-propan-raya-icc/,Apply today. Good volume target.
6,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee PT Puninar Logistics,PT Puninar,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-puninar-logistics/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Management Trainee PT Puninar Logistics Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA M...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-puninar-logistics/,Apply today. Good volume target.
7,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO),PT Surya,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-surya-toto-indonesia-tbk-toto/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Management Trainee PT Surya Toto Indonesia Tbk Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG ...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-surya-toto-indonesia-tbk-toto/,Apply today. Good volume target.
8,70,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee Asia Pulp & Paper (APP),PT Unilever,Jakarta,https://www.gokerja.id/lowongan-management-trainee-asia-pulp-paper-app/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Management Trainee Asia Pulp & Paper (APP) Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MANA...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-asia-pulp-paper-app/,Apply today. Good volume target.
9,70,Priority 2 - Apply Today,Apply,Possible Match,,Officer Development Program (ODP) Bank BNI,PT Unilever,Jakarta,https://www.gokerja.id/officer-development-program-odp-bank-bni/,Gokerja - Fresh Graduate,,,,,,,,90.0,Role match: ODP; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Officer Development Program (ODP) Bank BNI Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MANAGEMENT TR...",,,,merged_duplicate,https://www.gokerja.id/officer-development-program-odp-bank-bni/,Apply today. Good volume target.
10,60,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan Management Trainee PT Bank Central Asia Tbk,PT Bank,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-bank-central-asia-tbk/,Gokerja - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, MAJOR_RISK, NATIONWIDE_PLACEMENT, VAGUE_JD",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,,,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-bank-central-asia-tbk/,Apply today. Good volume target.
